tahun;kd_desa;fitur_1;fitur_2;fitur_3;fitur_4;fitur_5;fitur_6;idm
2023;1905062010;8660000;418692000;17900000;209609000;223200000;5000000;0.7467
2023;1906012001;471641500;225594500;0;0;108000000;0;0.866
2023;1906012002;5651500;548067400;0;283199200;194400000;0;0.8949
2023;1906012003;53053800;495229500;0;227799600;273600000;23979500;0.8413
2023;1906012004;37806810;513816000;19830000;60802000;216000000;121200000;0.7852
2023;1906012006;57122250;464786273;0;146658500;232400000;0;0.8213
2023;1906012007;47513000;947401000;5000000;75000000;290800000;100000000;0.9086
2023;1906012010;43220500;514058500;0;206741000;144000000;0;0.7892
2023;1906012012;22409200;603254000;3600000;168745000;208800000;0;0.8597
2023;1906012013;20946800;450193750;31185000;192138250;201600000;0;0.7765
2023;1906022001;74651680;526272900;0;156195000;169200000;60000000;0.8548
2023;1906022002;113270500;571085500;0;231757300;230400000;0;0.8394
2023;1906022003;45124500;399808000;0;172217000;198000000;0;0.8171
2023;1906022004;37832000;340476000;33100000;347881000;216000000;0;0.8619
2023;1906022009;53237000;589817300;0;217177000;144000000;0;0.9083
2023;1906022010;105484850;525109000;23667000;219805000;198000000;0;0.8662
2023;1906022011;36208500;520735750;0;189094000;115200000;42922850;0.8567
2023;1906032001;53511000;428047000;7700000;149555000;162000000;0;0.8268
2023;1906032002;34432420;464596580;0;183052500;230400000;0;0.8137
2023;1906032005;54361850;317301550;232225500;303468100;187200000;0;0.8206
2023;1906032008;40472500;504698000;0;202928500;180000000;0;0.8262
2023;1906042001;44044000;502662292;0;189926000;216000000;0;0.8478
2023;1906042002;33985800;540413300;0;237971000;180000000;0;0.8344
2023;1906042003;52254500;379707160;16645000;152829500;187200000;0;0.8187
2023;1906042005;34142950;505933000;31534950;0;262800000;0;0.8471
2023;1906042006;23325000;413817500;0;407980500;291600000;0;0.8322
2023;1906042007;31469400;340240000;0;202920700;198000000;0;0.94
2023;1906052001;30228500;551864500;0;257037000;262800000;0;0.7817
2023;1906052002;22875000;234910000;52934000;182832000;183600000;120000000;0.7713
2023;1906052003;30818600;607816500;9800000;113118000;194400000;35000000;0.8043
2023;1906052004;18858300;579217000;75673500;287726000;172800000;0;0.9011
2023;1906052005;28448300;349280000;0;238781500;190800000;100000000;0.8579
2023;1906062001;51949300;455365500;0;221622000;205200000;0;0.8167
2023;1906062002;28725700;391295739;24520445;171181400;205200000;0;0.8344
2023;1906062003;17690000;373484700;0;211850500;183600000;0;0.7616
2023;1906062004;49844600;513362900;0;199075000;212400000;0;0.7952
2023;1906072001;0;608870000;0;8646000;212400000;50000000;0.8914
2023;1906072002;5512549;431998500;0;343530000;223200000;0;0.7892
2023;1906072003;7062000;423676000;0;201868500;201600000;0;0.7702
2023;1906072004;7186066;352397435;0;365678100;180000000;0;0.8449
2022;1901012007;3452000;337242135;0;125533858;392799000;79000000;0.8117
2022;1901022004;1000000;338880000;0;253761650;548700000;0;0.8152
2022;1901022005;0;230325000;0;255907764;410400000;81515000;0.8135
2022;1901022006;12602000;432995250;0;187767048;387250000;0;0.8003
2022;1901022007;10380000;301369000;16561000;116825000;313200000;0;0.8003
2022;1901022008;0;167850200;0;211599500;450000000;20000000;0.7967
2022;1901032001;6825000;219597000;0;235644514;360735000;0;0.8865
2022;1901032002;0;270892000;0;239320000;406603000;0;0.8675
2022;1901032003;10650000;164275000;0;236033000;364056000;0;0.7994
2022;1901032004;0;223261900;0;314390840;306000000;0;0.8
2022;1901032005;0;104340000;0;233315000;365550000;245438200;0.8156
2022;1901032006;17503000;299459024;0;202354520;334190000;16000000;0.8659
2022;1901032007;0;320008399;0;193356650;347418000;0;0.7986
2022;1901032008;0;378986500;0;146460000;320400000;0;0.8133
2022;1901032009;0;127657927;0;258736371;289879279;0;0.8149
2022;1901032010;3920000;150049012;0;367282000;346689000;36000000;0.8116
2022;1901042001;0;227977000;0;225643000;342000000;70000000;0.8559
2022;1901042002;0;338587000;0;224355000;448450000;0;0.801
2022;1901042003;7296000;308246000;0;281215000;505884000;100000000;0.8056
2022;1901042004;5806000;214423000;0;343534000;397056000;0;0.7873
2022;1901042005;22182000;371800000;0;0;469410000;0;0.8076
2022;1901042006;24599000;178625000;28400000;440454000;399925000;0;0.8487
2022;1901042007;37550000;396762000;14060000;253152000;458875000;0;0.8578
2022;1901042008;18996000;323806000;0;268429000;426256000;0;0.8856
2022;1901042009;0;289084200;0;150715000;306230000;0;0.8149
2022;1901042010;0;433019000;0;26500000;389250000;0;0.793
2022;1901042011;0;104600000;0;234346400;319800000;210773320;0.8133
2022;1901042012;10325500;307381000;0;295693400;392400000;0;0.7949
2022;1901042013;0;284113600;0;166300000;324000000;0;0.8076
2022;1901042014;0;111150200;5282000;167844800;385557000;42000000;0.8671
2022;1901042015;20552500;375218000;0;224272000;430800000;0;0.8783
2022;1901052001;4845000;411689500;0;221534000;380800000;0;0.8208
2022;1901052002;6790000;213191500;0;245967000;325400000;0;0.8429
2022;1901052003;12704000;225551299;0;274083500;368660000;31734945;0.8097
2022;1901052004;13775000;238408159;0;436295000;435965000;22000000;0.7911
2022;1901052005;13574000;204413060;0;462691542;489252500;0;0.8773
2022;1901052006;31365000;325692814;0;281992960;356400000;0;0.8433
2022;1901062001;0;319708200;0;264784475;425576100;0;0.8395
2022;1901062002;0;176982500;0;159227560;301526000;110000000;0.7949
2022;1901062003;648000;419022000;2495000;164371000;392800000;0;0.7908
2022;1901062004;0;287203000;0;125866000;328000000;0;0.7911
2022;1901062005;0;243515000;0;201902757;345500000;0;0.7856
2022;1901062006;17262600;148676000;0;314023500;304231000;0;0.7798
2022;1901062007;1840300;249141400;0;367391710;380475800;0;0.7875
2022;1901062008;20100000;426083944;0;166051420;363243000;0;0.7987
2022;1901062009;1500000;110458636;0;248702500;287390000;0;0.7892
2022;1901072001;0;220755740;2204000;139856829;432000000;115467021;0.8598
2022;1901072002;2500000;430009819;0;224498000;352800000;0;0.8005
2022;1901072003;0;286864750;0;114721000;360000000;0;0.806
2022;1901072004;10700000;404879307;0;173686000;453600000;0;0.7929
2022;1901072005;9724200;251931190;12455000;180339000;342000000;0;0.7929
2022;1901072006;4657000;217767498;0;205762500;348531000;49100000;0.7835
2022;1901072007;18600000;104450000;7018000;227715000;475200000;0;0.8005
2022;1901072008;10180000;416439660;16812500;209206250;331200000;0;0.8079
2022;1901072009;1764000;241879000;0;270379300;309600000;69284000;0.804
2022;1901082001;2030000;131545000;0;315122147;478800000;255671620;0.9032
2022;1901082002;5415000;131476800;0;340894500;360000000;87647000;0.8097
2022;1901082003;0;320140400;0;272308000;349900000;0;0.8078
2022;1901082004;5111000;347206000;0;129785000;324000000;54200000;0.8003
2022;1901082005;4194000;151852000;0;163735000;306000000;210000000;0.8003
2022;1901082006;3974000;405064550;0;195769500;354800000;0;0.8076
2022;1901082007;7103500;486682400;0;109022000;418069000;150000000;0.7989
2022;1902012003;17500000;285298000;0;129162500;410400000;0;0.7602
2022;1902012004;0;202046250;0;229121900;437350000;135778772;0.9216
2022;1902012007;43636750;270846837;41484514;208179500;443275000;0;0.7079
2022;1902012008;19169850;222492500;70097997;164120000;302400000;0;0.741
2022;1902012010;12095000;357872000;13785000;210617000;508075000;0;0.7546
2022;1902012012;0;395316500;0;215080000;438800000;0;0.7751
2022;1902012013;44763150;437585600;6500000;189180840;460800000;0;0.7329
2022;1902012014;34551200;179551750;9662500;102585750;421200000;0;0.771
2022;1902012015;2076000;271918510;4500000;194719500;626712900;175000000;0.9237
2022;1902022001;0;497015000;11549500;256693500;529150000;0;0.8379
2022;1902022002;700000;257720961;6040000;238611007;285900000;0;0.8171
2022;1902022003;0;307322300;22415000;187409000;416450000;0;0.8037
2022;1902022004;2330000;247627250;49018344;171370000;302400000;0;0.7841
2022;1902022005;0;446065250;12015000;221362500;454081000;0;0.813
2022;1902022006;1403000;221390000;8246000;242631500;273600000;100000000;0.8487
2022;1902022007;0;284570342;11767373;143230100;314957000;0;0.8378
2022;1902022008;215000;332170800;9594600;137665000;280800000;0;0.8657
2022;1902022009;0;195220000;102618500;157325000;284400000;0;0.8592
